"section-id","file-id","url","heading","Codes with >= 2 votes"
1,1,"https://github.com/xiaobai557/wechat","# [Easy WeChat](http://easywechat.org)","-"
2,1,"https://github.com/xiaobai557/wechat","## 特点","-"
3,1,"https://github.com/xiaobai557/wechat","## 环境要求","-"
4,1,"https://github.com/xiaobai557/wechat","## 安装","-"
5,1,"https://github.com/xiaobai557/wechat","## 使用","-"
6,1,"https://github.com/xiaobai557/wechat","## 文档","-"
7,1,"https://github.com/xiaobai557/wechat","## 框架集成","-"
8,1,"https://github.com/xiaobai557/wechat","## 贡献代码","-"
9,1,"https://github.com/xiaobai557/wechat","## License","-"
10,2,"https://github.com/dungenessbin/think","# ThinkPHP 5.0","-"
11,2,"https://github.com/dungenessbin/think","## 目录结构","-"
12,2,"https://github.com/dungenessbin/think","## 命名规范","-"
13,2,"https://github.com/dungenessbin/think","### 目录和文件","-"
14,2,"https://github.com/dungenessbin/think","### 函数和类、属性命名","-"
15,2,"https://github.com/dungenessbin/think","### 常量和配置","-"
16,2,"https://github.com/dungenessbin/think","### 数据表和字段","-"
17,2,"https://github.com/dungenessbin/think","## 参与开发","-"
18,2,"https://github.com/dungenessbin/think","## 版权信息","-"
19,3,"https://github.com/sethm/symon","# SYMON - A 6502 System Simulator","14"
20,3,"https://github.com/sethm/symon","## 1.0 About","1246"
21,3,"https://github.com/sethm/symon","## 2.0 Requirements","3"
22,3,"https://github.com/sethm/symon","## 3.0 Features","1"
23,3,"https://github.com/sethm/symon","### 3.1 Memory Maps","1"
24,3,"https://github.com/sethm/symon","#### 3.1.1 Symon Memory Map","1"
25,3,"https://github.com/sethm/symon","#### 3.1.2 MULTICOMP Memory Map","1"
26,3,"https://github.com/sethm/symon","### 3.1.3 Simple Memory Map","1"
27,3,"https://github.com/sethm/symon","### 3.2 Serial Console and CPU Status","1"
28,3,"https://github.com/sethm/symon","### 3.3 ROM Loading","1"
29,3,"https://github.com/sethm/symon","### 3.4 Memory Window","1"
30,3,"https://github.com/sethm/symon","### 3.5 Trace Log","1"
31,3,"https://github.com/sethm/symon","### 3.6 Simulator Speeds","1"
32,3,"https://github.com/sethm/symon","### 3.7 Breakpoints","1"
33,3,"https://github.com/sethm/symon","### 3.8 Experimental 6545 CRTC Video","16"
34,3,"https://github.com/sethm/symon","#### 3.8.1 Example BASIC Program to test Video","1"
35,3,"https://github.com/sethm/symon","## 4.0 Usage","3"
36,3,"https://github.com/sethm/symon","### 4.1 Building","3"
37,3,"https://github.com/sethm/symon","### 4.2 ROM images","3"
38,3,"https://github.com/sethm/symon","### 4.3 Loading A Program","3"
39,3,"https://github.com/sethm/symon","### 4.4 Running","3"
40,3,"https://github.com/sethm/symon","## 5.0 Revision History","4"
41,3,"https://github.com/sethm/symon","## 6.0 Roadmap","4"
42,3,"https://github.com/sethm/symon","## 7.0 To Do","4"
43,3,"https://github.com/sethm/symon","## 8.0 Copyright and Acknowledgements","5"
44,3,"https://github.com/sethm/symon","## 9.0 Licensing","5"
45,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","# Code Along: An Intro to Inheritance","1"
46,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","## Objectives","12"
47,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","## Introduction: Why Inheritance?","12"
48,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","## What is Inheritance?","1"
49,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","## Code Along: Basic Inheritance","3"
50,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","### Step 1: Defining the Super Class","3"
51,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","### Step 2: Defining the Subclass","3"
52,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","### Step 3: Overwriting Inherited Methods","3"
53,4,"https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000","#### Method Look-Up in Ruby","3"
